Date,Closing Price
2019년 09월 01일,54.8
2019년 08월 30일,55.1
2019년 08월 29일,56.71
2019년 08월 28일,55.78
2019년 08월 27일,54.93
2019년 08월 26일,53.64
2019년 08월 23일,54.17
2019년 08월 22일,55.35
2019년 08월 21일,55.68
2019년 08월 20일,56.34
2019년 08월 19일,56.21
2019년 08월 16일,54.87
2019년 08월 15일,54.47
2019년 08월 14일,55.23
2019년 08월 13일,57.1
2019년 08월 12일,54.93
2019년 08월 09일,54.5
2019년 08월 08일,52.54
2019년 08월 07일,51.09
2019년 08월 06일,53.63
2019년 08월 05일,54.69
2019년 08월 02일,55.66
2019년 08월 01일,53.95
2019년 07월 31일,58.58
2019년 07월 30일,58.05
2019년 07월 29일,56.87
2019년 07월 26일,56.2
2019년 07월 25일,56.02
2019년 07월 24일,55.88
2019년 07월 23일,56.77
2019년 07월 22일,56.22
2019년 07월 19일,55.63
2019년 07월 18일,55.3
2019년 07월 17일,56.78
2019년 07월 16일,57.62
2019년 07월 15일,59.58
2019년 07월 12일,60.21
2019년 07월 11일,60.2
2019년 07월 10일,60.43
2019년 07월 09일,57.83
2019년 07월 08일,57.66
2019년 07월 05일,57.51
2019년 07월 04일,56.8
2019년 07월 03일,57.34
2019년 07월 02일,56.25
2019년 07월 01일,59.09
2019년 06월 28일,58.47
2019년 06월 27일,59.43
2019년 06월 26일,59.38
2019년 06월 25일,57.83
2019년 06월 24일,57.9
2019년 06월 21일,57.43
2019년 06월 20일,56.65
2019년 06월 19일,53.76
2019년 06월 18일,53.9
2019년 06월 17일,51.93
2019년 06월 14일,52.51
2019년 06월 13일,52.28
2019년 06월 12일,51.14
2019년 06월 11일,53.27
2019년 06월 10일,53.26
2019년 06월 07일,53.99
2019년 06월 06일,52.59
2019년 06월 05일,51.68
2019년 06월 04일,53.48
2019년 06월 03일,53.25
2019년 05월 31일,53.5
2019년 05월 30일,56.59
2019년 05월 29일,58.81
2019년 05월 28일,59.14
2019년 05월 27일,59.16
2019년 05월 26일,58.77
2019년 05월 24일,58.63
2019년 05월 23일,57.91
2019년 05월 22일,61.42
2019년 05월 21일,62.99
2019년 05월 20일,63.1
2019년 05월 17일,62.76
2019년 05월 16일,62.87
2019년 05월 15일,62.02
2019년 05월 14일,61.78
2019년 05월 13일,61.04
2019년 05월 10일,61.66
2019년 05월 09일,61.7
2019년 05월 08일,62.12
2019년 05월 07일,61.4
2019년 05월 06일,62.25
2019년 05월 03일,61.94
2019년 05월 02일,61.81
2019년 05월 01일,63.6
2019년 04월 30일,63.91
2019년 04월 29일,63.5
2019년 04월 26일,63.3
2019년 04월 25일,65.21
2019년 04월 24일,65.89
2019년 04월 23일,66.3
2019년 04월 22일,65.7
2019년 04월 18일,64
2019년 04월 17일,63.76
2019년 04월 16일,64.05
2019년 04월 15일,63.4
2019년 04월 12일,63.89
2019년 04월 11일,63.58
2019년 04월 10일,64.61
2019년 04월 09일,63.98
2019년 04월 08일,64.4
2019년 04월 05일,63.08
2019년 04월 04일,62.1
2019년 04월 03일,62.46
2019년 04월 02일,62.58
2019년 04월 01일,61.59
2019년 03월 29일,60.14
2019년 03월 28일,59.3
2019년 03월 27일,59.41
2019년 03월 26일,59.94
2019년 03월 25일,58.82
2019년 03월 22일,59.04
2019년 03월 21일,59.98
2019년 03월 20일,59.83
2019년 03월 19일,59.03
2019년 03월 18일,59.09
2019년 03월 15일,58.52
2019년 03월 14일,58.61
2019년 03월 13일,58.26
2019년 03월 12일,56.87
2019년 03월 11일,56.79
2019년 03월 08일,56.07
2019년 03월 07일,56.66
2019년 03월 06일,56.22
2019년 03월 05일,56.56
2019년 03월 04일,56.59
2019년 03월 01일,55.8
2019년 02월 28일,57.22
2019년 02월 27일,56.94
2019년 02월 26일,55.5
2019년 02월 25일,55.48
2019년 02월 22일,57.26
2019년 02월 21일,56.96
2019년 02월 20일,56.92
2019년 02월 19일,56.09
2019년 02월 18일,56.27
2019년 02월 17일,56.33
2019년 02월 15일,55.59
2019년 02월 14일,54.41
2019년 02월 13일,53.9
2019년 02월 12일,53.1
2019년 02월 11일,52.41
2019년 02월 08일,52.72
2019년 02월 07일,52.64
2019년 02월 06일,54.01
2019년 02월 05일,53.66
2019년 02월 04일,54.56
2019년 02월 01일,55.26
2019년 01월 31일,53.79
2019년 01월 30일,54.23
2019년 01월 29일,53.31
2019년 01월 28일,51.99
2019년 01월 25일,53.69
2019년 01월 24일,53.13
2019년 01월 23일,52.62
2019년 01월 22일,52.57
2019년 01월 21일,54.24
2019년 01월 20일,53.65
2019년 01월 18일,53.8
2019년 01월 17일,52.07
2019년 01월 16일,52.31
2019년 01월 15일,52.11
2019년 01월 14일,50.51
2019년 01월 11일,51.59
2019년 01월 10일,52.59
2019년 01월 09일,52.36
2019년 01월 08일,49.78
2019년 01월 07일,48.52
2019년 01월 04일,47.96
2019년 01월 03일,47.09
2019년 01월 02일,46.54
2019년 01월 01일,45.89
2018년 12월 31일,45.41
2018년 12월 28일,45.33
2018년 12월 27일,44.61
2018년 12월 26일,46.22
2018년 12월 25일,43.16
2018년 12월 24일,42.53
2018년 12월 21일,45.59
2018년 12월 20일,45.88
2018년 12월 19일,47.2
2018년 12월 18일,46.24
2018년 12월 17일,49.88
2018년 12월 14일,51.2
2018년 12월 13일,52.58
2018년 12월 12일,51.15
2018년 12월 11일,51.65
2018년 12월 10일,51
2018년 12월 07일,52.61
2018년 12월 06일,51.49
2018년 12월 05일,52.89
2018년 12월 04일,53.25
2018년 12월 03일,52.95
2018년 11월 30일,50.93
2018년 11월 29일,51.45
2018년 11월 28일,50.29
2018년 11월 27일,51.56
2018년 11월 26일,51.63
2018년 11월 23일,50.42
2018년 11월 22일,54.02
2018년 11월 21일,54.63
2018년 11월 20일,53.43
2018년 11월 19일,56.76
2018년 11월 16일,56.46
2018년 11월 15일,56.46
2018년 11월 14일,56.25
2018년 11월 13일,55.69
2018년 11월 12일,59.93
2018년 11월 09일,60.19
2018년 11월 08일,60.67
2018년 11월 07일,61.67
2018년 11월 06일,62.21
2018년 11월 05일,63.1
2018년 11월 02일,63.14
2018년 11월 01일,63.69
2018년 10월 31일,65.31
2018년 10월 30일,66.18
2018년 10월 29일,67.04
2018년 10월 26일,67.59
2018년 10월 25일,67.33
2018년 10월 24일,66.82
2018년 10월 23일,66.43
2018년 10월 22일,69.17
2018년 10월 19일,69.12
2018년 10월 18일,68.65
2018년 10월 17일,69.75
2018년 10월 16일,71.92
2018년 10월 15일,71.78
2018년 10월 12일,71.34
2018년 10월 11일,70.97
2018년 10월 10일,73.17
2018년 10월 09일,74.96
2018년 10월 08일,74.29
2018년 10월 05일,74.34
2018년 10월 04일,74.33
2018년 10월 03일,76.41
2018년 10월 02일,75.23
2018년 10월 01일,75.3
2018년 09월 28일,73.25
2018년 09월 27일,72.12
2018년 09월 26일,71.57
2018년 09월 25일,72.28
2018년 09월 24일,72.08
2018년 09월 21일,70.78
2018년 09월 20일,70.8
2018년 09월 19일,71.12
2018년 09월 18일,69.85
