Date,Closing Price
2009-11-01,75.82
2009-10-25,76.3
2009-10-18,75.47
2009-10-11,75.6
2009-10-04,76.43
2009-09-27,77
2009-09-20,76.81
2009-09-13,76.42
2009-09-06,76.61
2009-08-30,78.14
2009-08-23,78.37
2009-08-16,78.04
2009-08-09,78.89
2009-08-02,78.97
2009-07-26,78.35
2009-07-19,78.75
2009-07-12,79.35
2009-07-05,80.23
2009-06-28,80.45
2009-06-21,79.9
2009-06-14,80.33
2009-06-07,80.13
2009-05-31,80.67
2009-05-24,79.23
2009-05-17,80.04
2009-05-10,82.95
2009-05-03,82.44
2009-04-26,84.54
2009-04-19,84.72
2009-04-12,85.9
2009-04-05,85.54
2009-03-29,84.18
2009-03-22,85.14
2009-03-15,83.71
2009-03-08,87.25
2009-03-01,88.55
2009-02-22,88.17
2009-02-15,86.59
2009-02-08,86.09
2009-02-01,85.29
2009-01-25,85.83
2009-01-18,85.58
2009-01-11,84.05
2009-01-04,82.48
2008-12-28,81.5
2008-12-21,80.97
2008-12-14,81.07
2008-12-07,83.71
2008-11-30,87.12
2008-11-23,86.52
2008-11-16,88.19
2008-11-09,86.36
2008-11-02,85.91
2008-10-26,85.63
2008-10-19,86.44
2008-10-12,82.41
2008-10-05,83
2008-09-28,80.31
2008-09-21,76.95
2008-09-14,77.68
2008-09-07,78.97
2008-08-31,78.93
2008-08-24,77.38
2008-08-17,76.81
2008-08-10,77.18
2008-08-03,75.84
2008-07-27,73.42
2008-07-20,72.86
2008-07-13,72.19
2008-07-06,72.1
2008-06-29,72.73
2008-06-22,72.36
2008-06-15,73.03
2008-06-08,74.15
2008-06-01,72.39
2008-05-25,72.88
2008-05-18,71.89
2008-05-11,72.84
2008-05-04,73.05
2008-04-27,73.5
2008-04-20,72.79
2008-04-13,72.01
2008-04-06,71.81
2008-03-30,72.02
2008-03-23,71.68
2008-03-16,72.75
2008-03-09,71.66
2008-03-02,73.03
2008-02-24,73.71
2008-02-17,75.52
2008-02-10,76.1
2008-02-03,76.67
2008-01-27,75.44
2008-01-20,75.97
2008-01-13,76.38
2008-01-06,75.98
