Date,Dubai,,
10년10월07일,82,,
10년10월08일,79.58,,
10년10월11일,80.92,,
10년10월12일,79.79,,
10년10월13일,81.21,,
10년10월14일,81.58,,
10년10월15일,80.72,,
10년10월18일,78.65,,
10년10월19일,80.77,,
10년10월20일,78.95,,
10년10월21일,80.39,,
10년10월22일,79.06,,
10년10월25일,80.96,,
10년10월26일,79.96,,
10년10월27일,79.83,,
10년10월28일,80.23,,
10년10월29일,79.86,,
10년11월01일,80.53,,
10년11월02일,82.24,,
10년11월03일,82.9,,
10년11월04일,84.7,,
10년11월05일,,,
10년11월08일,85.04,,
10년11월09일,85.41,,
10년11월10일,85.71,,
10년11월11일,86.57,,
10년11월12일,84.6,,
10년11월15일,84.43,,
10년11월16일,83.88,,
10년11월17일,,,
10년11월18일,81.98,,
10년11월19일,82.94,,
10년11월22일,83.03,,
10년11월23일,81.34,,
10년11월24일,81.31,,
10년11월25일,83.3,,
10년11월26일,83.23,,
10년11월29일,83.99,,
10년11월30일,84.53,,
10년12월01일,84.07,,
10년12월02일,86.16,,
10년12월03일,87,,
10년12월06일,88.52,,
10년12월07일,88.27,,
10년12월08일,87.37,,
10년12월09일,88.8,,
10년12월10일,88.66,,
10년12월13일,88.74,,
10년12월14일,88.89,,
10년12월15일,88.26,,
10년12월16일,89.6,,
10년12월17일,89.58,,
10년12월20일,89.34,,
10년12월21일,90.62,,
10년12월22일,90.63,,
10년12월23일,90.39,,
10년12월24일,91.58,,
10년12월27일,,,
10년12월28일,90.62,,
10년12월29일,90.56,,
10년12월30일,90.35,,
10년12월31일,88.8,,
11년01월03일,,,
11년01월04일,91.59,,
11년01월05일,89.7,,
11년01월06일,92,,
11년01월07일,90.35,,
11년01월10일,90.32,,
11년01월11일,91.82,,
11년01월12일,94.23,,
11년01월13일,93.85,,
11년01월14일,93.23,,
11년01월17일,93.01,,
11년01월18일,93.29,,
11년01월19일,93.46,,
11년01월20일,93.17,,
11년01월21일,92.53,,
11년01월24일,93.21,,
11년01월25일,92.01,,
11년01월26일,91.9,,
11년01월27일,93.33,,
11년01월28일,93.44,,
11년01월31일,94.57,,
11년02월01일,95.71,,
11년02월02일,97.11,,
11년02월03일,,,
11년02월04일,,,
11년02월07일,96.06,,
11년02월08일,96.07,,
11년02월09일,96.83,,
11년02월10일,97.92,,
11년02월11일,97.94,,
11년02월14일,97.23,,
11년02월15일,99.29,,
11년02월16일,98.03,,
11년02월17일,99.56,,
11년02월18일,98.96,,
11년02월21일,100.36,,
11년02월22일,103.72,,
11년02월23일,104.33,,
11년02월24일,110.77,,
11년02월25일,107,,
11년02월28일,107.41,,
11년03월01일,106.44,,
11년03월02일,109.04,,
11년03월03일,109.82,,
11년03월04일,110.65,,
11년03월07일,111.18,,
11년03월08일,109.09,,
11년03월09일,108.45,,
11년03월10일,110.55,,
11년03월11일,108.3,,
11년03월14일,105.97,,
11년03월15일,105.82,,
11년03월16일,104.19,,
11년03월17일,106.1,,
11년03월18일,110.11,,
11년03월21일,108.75,,
11년03월22일,108.44,,
11년03월23일,109.65,,
11년03월24일,109.42,,
11년03월25일,109.41,,
11년03월28일,108.66,,
11년03월29일,107.92,,
11년03월30일,108.72,,
11년03월31일,109.4,,
11년04월01일,111.08,,
11년04월04일,112.7,,
11년04월05일,113.54,,
11년04월06일,115.05,,
11년04월07일,115.22,,
11년04월08일,116.86,,
11년04월11일,118.32,,
11년04월12일,116.22,,
11년04월13일,113.55,,
11년04월14일,115.71,,
11년04월15일,114.82,,
11년04월18일,115.88,,
11년04월19일,113.7,,
11년04월20일,115.6,,
11년04월21일,117.31,,
11년04월25일,117.57,,
11년04월26일,117.04,,
11년04월27일,117.4,,
11년04월28일,119.23,,
11년04월29일,118.35,,
11년05월02일,,,
11년05월03일,117.9,,
11년05월04일,114.44,,
11년05월05일,114.4,,
11년05월06일,100.48,,
11년05월09일,105.7,,
11년05월10일,109.25,,
11년05월11일,110.92,,
11년05월12일,105.11,,
11년05월13일,107.74,,
11년05월16일,106.09,,
11년05월17일,,,
11년05월18일,105.44,,
11년05월19일,106.44,,
11년05월20일,106.21,,
11년05월23일,104.01,,
11년05월24일,105.49,,
11년05월25일,105.48,,
11년05월26일,108.65,,
11년05월27일,109.16,,
11년05월30일,108.16,,
11년05월31일,109.66,,
11년06월01일,110.13,,
11년06월02일,107.83,,
11년06월03일,108.21,,
11년06월06일,108.15,,
11년06월07일,108.22,,
11년06월08일,109.41,,
11년06월09일,111.18,,
11년06월10일,112.04,,
11년06월13일,111.41,,
11년06월14일,111.49,,
11년06월15일,111.8,,
11년06월16일,108.25,,
11년06월17일,105.43,,
11년06월20일,105.89,,
11년06월21일,106.87,,
11년06월22일,105.6,,
11년06월23일,106.14,,
11년06월24일,101.54,,
11년06월27일,101.07,,
11년06월28일,102.95,,
11년06월29일,104.74,,
11년06월30일,106.75,,
11년07월01일,105.57,,
11년07월04일,106.15,,
11년07월05일,105.1,,
11년07월06일,106.52,,
11년07월07일,108.47,,
11년07월08일,111.89,,
11년07월11일,110.32,,
11년07월12일,109.01,,
11년07월13일,111.55,,
11년07월14일,110.82,,
11년07월15일,109.8,,
11년07월18일,110.89,,
11년07월19일,111.07,,
11년07월20일,112.1,,
11년07월21일,111.5,,
11년07월22일,112.34,,
11년07월25일,112.09,,
11년07월26일,112.31,,
11년07월27일,112.27,,
11년07월28일,112.28,,
11년07월29일,111.1,,
11년08월01일,113.21,,
11년08월02일,109.98,,
11년08월03일,109.59,,
11년08월04일,107.23,,
11년08월05일,101.05,,
11년08월08일,101.76,,
11년08월09일,,,
11년08월10일,100.03,,
11년08월11일,102.11,,
11년08월12일,102.28,,
11년08월15일,103.12,,
11년08월16일,103.42,,
11년08월17일,104.79,,
11년08월18일,105.04,,
11년08월19일,100.98,,
11년08월22일,101.96,,
11년08월23일,104.58,,
11년08월24일,104.73,,
11년08월25일,106.54,,
11년08월26일,105.98,,
11년08월29일,106.85,,
11년08월30일,,,
11년08월31일,109.73,,
11년09월01일,109.34,,
11년09월02일,108.93,,
11년09월05일,106.77,,
11년09월06일,105.83,,
11년09월07일,108.73,,
11년09월08일,110.08,,
11년09월09일,109.15,,
11년09월12일,105.24,,
11년09월13일,106.32,,
11년09월14일,105.68,,
11년09월15일,105.4,,
11년09월16일,108.2,,
11년09월19일,107.83,,
11년09월20일,106.1,,
11년09월21일,107.11,,
11년09월22일,104.38,,
11년09월23일,103.18,,
11년09월26일,99.74,,
11년09월27일,102.61,,
11년09월28일,103.49,,
11년09월29일,101.68,,
11년09월30일,100.61,,
11년10월03일,97.41,,
11년10월04일,96.76,,
11년10월05일,97.08,,
11년10월06일,98.67,,
11년10월07일,100.35,,
11년10월10일,101.31,,
11년10월11일,102.23,,
11년10월12일,104.71,,
11년10월13일,103.94,,
11년10월14일,105.25,,
11년10월17일,107.37,,
11년10월18일,105.22,,
11년10월19일,105.53,,
11년10월20일,105.38,,
11년10월21일,105.56,,
11년10월24일,107.08,,
11년10월25일,106.98,,
11년10월26일,,,
11년10월27일,106.97,,
11년10월28일,107.13,,
11년10월31일,105.8,,
11년11월01일,103.65,,
11년11월02일,106.24,,
11년11월03일,104.31,,
11년11월04일,107,,
11년11월07일,,,
11년11월08일,111.26,,
11년11월09일,110.52,,
11년11월10일,108.48,,
11년11월11일,110.32,,
11년11월14일,110.7,,
11년11월15일,109.53,,
11년11월16일,110.59,,
11년11월17일,109.72,,
11년11월18일,107.67,,
11년11월21일,106.21,,
11년11월22일,106.67,,
11년11월23일,107.39,,
11년11월24일,106.8,,
11년11월25일,106.32,,
11년11월28일,107.18,,
11년11월29일,107.35,,
11년11월30일,108.26,,
11년12월01일,107.39,,
11년12월02일,107.56,,
11년12월05일,108.8,,
11년12월06일,107.31,,
11년12월07일,108.86,,
11년12월08일,107.97,,
11년12월09일,105.62,,
11년12월12일,105.87,,
11년12월13일,105.51,,
11년12월14일,106.57,,
11년12월15일,102.99,,
11년12월16일,101.98,,
11년12월19일,100.96,,
11년12월20일,102.25,,
11년12월21일,104.71,,
11년12월22일,105.27,,
11년12월23일,105.48,,
11년12월27일,105.33,,
11년12월28일,105.77,,
11년12월29일,104.61,,
11년12월30일,104.89,,
12년01월03일,105.91,,
12년01월04일,108.49,,
12년01월05일,110.23,,
12년01월06일,109.92,,
12년01월09일,110.5,,
12년01월10일,110.39,,
12년01월11일,110.95,,
12년01월12일,110.69,,
12년01월13일,109.84,,
12년01월16일,109.46,,
12년01월17일,110.29,,
12년01월18일,109.61,,
12년01월19일,109.47,,
12년01월20일,109.5,,
12년01월23일,,,
12년01월24일,,,
12년01월25일,108.29,,
12년01월26일,108.78,,
12년01월27일,109.14,,
12년01월30일,109.75,,
12년01월31일,109.59,,
12년02월01일,109.14,,
12년02월02일,109.67,,
12년02월03일,109.9,,
12년02월06일,111.7,,
12년02월07일,113.25,,
12년02월08일,113.85,,
12년02월09일,114.53,,
12년02월10일,115.22,,
12년02월13일,115.91,,
12년02월14일,115.25,,
12년02월15일,116.43,,
12년02월16일,116.23,,
12년02월17일,117.45,,
12년02월20일,117.98,,
12년02월21일,117.69,,
12년02월22일,119.42,,
12년02월23일,120.22,,
12년02월24일,121.57,,
12년02월27일,122.56,,
12년02월28일,121.81,,
12년02월29일,120.02,,
12년03월01일,119.64,,
12년03월02일,122.25,,
12년03월05일,121.09,,
12년03월06일,121.65,,
12년03월07일,120.75,,
