Date,Closing Price
2011년 04월 17일,112.29
2011년 04월 10일,109.66
2011년 04월 03일,112.79
2011년 03월 27일,107.94
2011년 03월 20일,105.4
2011년 03월 13일,101.07
2011년 03월 06일,101.16
2011년 02월 27일,104.42
2011년 02월 20일,97.88
2011년 02월 13일,86.2
2011년 02월 06일,85.58
2011년 01월 30일,89.03
2011년 01월 23일,89.34
2011년 01월 16일,89.11
2011년 01월 09일,91.54
2011년 01월 02일,88.03
2010년 12월 26일,91.38
2010년 12월 19일,91.51
2010년 12월 12일,88.02
2010년 12월 05일,87.79
2010년 11월 28일,89.19
2010년 11월 21일,83.76
2010년 11월 14일,81.51
2010년 11월 07일,84.88
2010년 10월 31일,86.85
2010년 10월 24일,81.43
2010년 10월 17일,81.69
2010년 10월 10일,81.25
2010년 10월 03일,82.66
2010년 09월 26일,81.58
2010년 09월 19일,76.49
2010년 09월 12일,73.66
2010년 09월 05일,76.45
2010년 08월 29일,74.6
2010년 08월 22일,75.17
2010년 08월 15일,73.46
2010년 08월 08일,75.39
2010년 08월 01일,80.7
2010년 07월 25일,78.95
2010년 07월 18일,78.98
2010년 07월 11일,76.01
2010년 07월 04일,76.09
2010년 06월 27일,72.14
2010년 06월 20일,78.86
2010년 06월 13일,77.18
2010년 06월 06일,73.78
2010년 05월 30일,71.51
2010년 05월 23일,73.97
2010년 05월 16일,70.04
2010년 05월 09일,71.61
2010년 05월 02일,75.11
2010년 04월 25일,86.15
2010년 04월 18일,85.12
2010년 04월 11일,83.24
2010년 04월 04일,84.92
2010년 03월 28일,84.87
2010년 03월 21일,80
2010년 03월 14일,80.68
2010년 03월 07일,81.24
2010년 02월 28일,81.5
2010년 02월 21일,79.66
2010년 02월 14일,79.81
2010년 02월 07일,74.13
2010년 01월 31일,71.19
2010년 01월 24일,72.89
2010년 01월 17일,74.54
2010년 01월 10일,78
2010년 01월 03일,82.75
2009년 12월 27일,79.36
2009년 12월 20일,78.05
2009년 12월 13일,73.36
2009년 12월 06일,69.87
2009년 11월 29일,75.47
2009년 11월 22일,76.05
2009년 11월 15일,76.72
2009년 11월 08일,76.35
2009년 11월 01일,77.43
2009년 10월 25일,77
2009년 10월 18일,80.5
2009년 10월 11일,78.53
2009년 10월 04일,71.77
2009년 09월 27일,69.95
2009년 09월 20일,66.02
2009년 09월 13일,72.04
2009년 09월 06일,69.29
2009년 08월 30일,68.02
2009년 08월 23일,72.74
2009년 08월 16일,73.89
2009년 08월 09일,67.51
2009년 08월 02일,70.93
2009년 07월 26일,69.45
2009년 07월 19일,68.05
2009년 07월 12일,63.56
2009년 07월 05일,59.89
2009년 06월 28일,66.73
2009년 06월 21일,69.16
2009년 06월 14일,69.55
2009년 06월 07일,72.04
2009년 05월 31일,68.44
2009년 05월 24일,66.31
2009년 05월 17일,61.67
2009년 05월 10일,56.34
2009년 05월 03일,58.63
2009년 04월 26일,53.2
2009년 04월 19일,51.55
2009년 04월 12일,50.33
2009년 04월 05일,52.24
2009년 03월 29일,52.51
2009년 03월 22일,52.38
2009년 03월 15일,51.06
2009년 03월 08일,46.25
2009년 03월 01일,45.52
2009년 02월 22일,44.76
2009년 02월 15일,38.94
2009년 02월 08일,37.51
2009년 02월 01일,40.17
2009년 01월 25일,41.68
2009년 01월 18일,46.47
2009년 01월 11일,36.51
2009년 01월 04일,40.83
2008년 12월 28일,46.34
2008년 12월 21일,37.71
2008년 12월 14일,33.87
2008년 12월 07일,46.28
2008년 11월 30일,40.81
2008년 11월 23일,54.43
2008년 11월 16일,49.93
2008년 11월 09일,57.04
2008년 11월 02일,61.04
2008년 10월 26일,67.81
2008년 10월 19일,64.15
2008년 10월 12일,71.85
2008년 10월 05일,77.7
2008년 09월 28일,93.88
2008년 09월 21일,106.89
2008년 09월 14일,104.55
2008년 09월 07일,101.18
2008년 08월 31일,106.23
2008년 08월 24일,115.46
2008년 08월 17일,114.59
2008년 08월 10일,113.77
2008년 08월 03일,115.2
2008년 07월 27일,125.1
2008년 07월 20일,123.26
2008년 07월 13일,128.88
2008년 07월 06일,145.08
2008년 06월 29일,145.29
2008년 06월 22일,140.21
2008년 06월 15일,134.62
2008년 06월 08일,134.86
2008년 06월 01일,138.54
2008년 05월 25일,127.35
2008년 05월 18일,132.19
2008년 05월 11일,126.29
2008년 05월 04일,125.96
2008년 04월 27일,116.32
2008년 04월 20일,118.52
2008년 04월 13일,116.69
2008년 04월 06일,110.14
2008년 03월 30일,106.23
2008년 03월 23일,105.62
2008년 03월 16일,101.84
2008년 03월 09일,110.21
2008년 03월 02일,105.15
2008년 02월 24일,101.84
2008년 02월 17일,98.81
2008년 02월 10일,95.5
2008년 02월 03일,91.77
2008년 01월 27일,88.96
2008년 01월 20일,90.71
2008년 01월 13일,90.57
2008년 01월 06일,92.69
